epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.57465,1.14863,1.05454,1.20333,0.96389,0.98707,0.98117,0.64775,1.21506,0.74653,1.31935,0.000611111,0.000611111,0.000611111
2,7.32104,1.14814,0.99697,1.21775,0.94628,0.96552,0.97506,0.59869,1.28561,0.82338,1.36899,0.00126197,0.00126197,0.00126197
3,9.02766,1.20131,1.04532,1.23228,0.92564,0.93103,0.96415,0.59112,1.2647,0.85565,1.32403,0.00189632,0.00189632,0.00189632
4,10.7425,1.16303,1.00236,1.2097,0.94934,0.96919,0.97178,0.58646,1.19954,0.9473,1.2865,0.00192575,0.00192575,0.00192575
5,12.4316,1.17675,1.00784,1.21656,0.92419,0.94584,0.96559,0.54914,1.29575,0.91787,1.31279,0.001901,0.001901,0.001901
6,14.1122,1.14254,0.97727,1.19836,0.91374,0.95884,0.94914,0.56851,1.31897,0.93898,1.32658,0.00187625,0.00187625,0.00187625
7,15.826,1.16308,1.00797,1.21412,0.95519,0.97845,0.96561,0.61327,1.21351,0.75609,1.2803,0.0018515,0.0018515,0.0018515
8,17.5873,1.14256,0.99265,1.20717,0.9658,0.97845,0.97226,0.62959,1.18392,0.76409,1.27595,0.00182675,0.00182675,0.00182675
9,19.3448,1.10871,0.99563,1.17996,0.9542,0.97845,0.96732,0.64265,1.15736,0.81917,1.27556,0.001802,0.001802,0.001802
10,21.0847,1.13377,0.9634,1.18464,0.97622,0.98276,0.97072,0.62724,1.2155,0.78638,1.28574,0.00177725,0.00177725,0.00177725
11,22.8274,1.1121,0.99301,1.1697,0.95749,0.97095,0.96831,0.66483,1.13298,0.76233,1.20606,0.0017525,0.0017525,0.0017525
12,24.673,1.14016,0.97543,1.19201,0.9073,0.92811,0.95687,0.61253,1.24269,0.83933,1.2434,0.00172775,0.00172775,0.00172775
13,26.6242,1.16108,0.98343,1.19747,0.95546,0.96552,0.97379,0.66073,1.16605,0.759,1.19739,0.001703,0.001703,0.001703
14,28.436,1.11725,0.97689,1.18409,0.93955,0.97845,0.97645,0.67048,1.17063,0.7553,1.23101,0.00167825,0.00167825,0.00167825
15,30.2121,1.10734,0.97285,1.15555,0.95726,0.96542,0.97998,0.6851,1.10519,0.75195,1.18773,0.0016535,0.0016535,0.0016535
16,32.4768,1.1099,0.96044,1.16619,0.97318,0.98707,0.9785,0.68455,1.11032,0.70525,1.1731,0.00162875,0.00162875,0.00162875
17,34.2164,1.14789,0.94391,1.19783,0.9705,0.96983,0.98234,0.62576,1.22471,0.76169,1.25022,0.001604,0.001604,0.001604
18,35.9414,1.11413,0.94577,1.17538,0.96603,0.9806,0.97661,0.64734,1.18699,0.70623,1.23422,0.00157925,0.00157925,0.00157925
19,37.8004,1.10297,0.94845,1.18316,0.9656,0.98707,0.98227,0.66567,1.16547,0.66869,1.20829,0.0015545,0.0015545,0.0015545
20,39.7379,1.12682,0.92886,1.21014,0.96817,0.97845,0.96923,0.63695,1.24479,0.68485,1.23564,0.00152975,0.00152975,0.00152975
21,41.5569,1.09472,0.92895,1.16838,0.981,0.98707,0.98622,0.70169,1.06992,0.64212,1.16029,0.001505,0.001505,0.001505
22,43.419,1.12407,0.93902,1.17446,0.9702,0.98276,0.97887,0.66612,1.10232,0.62678,1.19778,0.00148025,0.00148025,0.00148025
23,45.338,1.14332,0.95513,1.2075,0.97012,0.98276,0.97491,0.64183,1.13119,0.6378,1.20717,0.0014555,0.0014555,0.0014555
24,47.1204,1.08937,0.94564,1.1519,0.9752,0.97845,0.98363,0.68292,1.09534,0.66363,1.16497,0.00143075,0.00143075,0.00143075
25,48.846,1.12757,0.93046,1.15537,0.96994,0.9735,0.96789,0.63319,1.27983,0.68777,1.25409,0.001406,0.001406,0.001406
26,50.6432,1.10958,0.95409,1.17207,0.97844,0.97795,0.97757,0.60109,1.29467,0.78383,1.27646,0.00138125,0.00138125,0.00138125
27,52.4365,1.08878,0.93535,1.16867,0.96173,0.96983,0.97246,0.58522,1.31693,0.80668,1.28909,0.0013565,0.0013565,0.0013565
