epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2857,1.65114,4.13088,0.0109,0.00433,0.26293,0.06589,0.01095,1.13885,4.61239,0.00737,0.000611111,0.000611111,0.000611111
2,26.0836,1.31535,3.05653,0.00812,0.00844,0.51293,0.14025,0.02449,1.11815,4.36451,0.00737,0.00126197,0.00126197,0.00126197
3,28.4744,1.31903,2.88284,0.008,0.00879,0.53448,0.11589,0.02034,1.14444,4.27763,0.0071,0.00189632,0.00189632,0.00189632
4,31.3017,1.31889,2.73068,0.00811,0.11889,0.55603,0.14181,0.02897,1.25142,4.06215,0.00792,0.00192575,0.00192575,0.00192575
5,33.6246,1.31003,2.48972,0.00802,0.41508,0.14655,0.38718,0.12161,1.59581,3.75208,0.01081,0.001901,0.001901,0.001901
6,35.8781,1.40436,2.26193,0.00871,0.6029,0.17016,0.52703,0.19079,1.11752,3.46182,0.00714,0.00187625,0.00187625,0.00187625
7,38.2763,1.32155,2.13244,0.00821,0.60264,0.63362,0.56224,0.22297,1.29367,3.07101,0.00837,0.0018515,0.0018515,0.0018515
8,40.6449,1.25171,2.02274,0.00767,0.77498,0.81034,0.84944,0.41608,1.37579,2.58708,0.00903,0.00182675,0.00182675,0.00182675
9,42.9626,1.29636,1.92701,0.00782,0.76771,0.82328,0.87604,0.47528,1.39128,2.25495,0.00905,0.001802,0.001802,0.001802
10,45.2476,1.34145,1.82896,0.00787,0.71794,0.74606,0.77768,0.47233,1.212,2.27129,0.00753,0.00177725,0.00177725,0.00177725
11,47.6597,1.32519,1.74752,0.00784,0.67514,0.80621,0.78823,0.38566,1.29601,2.09891,0.00834,0.0017525,0.0017525,0.0017525
12,49.9317,1.27703,1.66453,0.00753,0.66538,0.73276,0.77511,0.3202,1.53582,2.06719,0.01073,0.00172775,0.00172775,0.00172775
13,52.2215,1.24716,1.65168,0.00752,0.80895,0.84052,0.87804,0.52672,1.37434,1.51541,0.00894,0.001703,0.001703,0.001703
14,54.5157,1.25343,1.62126,0.00747,0.854,0.832,0.91352,0.51334,1.45744,1.51289,0.0093,0.00167825,0.00167825,0.00167825
15,56.8025,1.17853,1.53979,0.00698,0.87519,0.8319,0.91723,0.53259,1.23925,1.50264,0.00798,0.0016535,0.0016535,0.0016535
16,59.2113,1.25406,1.48329,0.00744,0.7867,0.81076,0.88324,0.48139,1.28678,1.56059,0.00837,0.00162875,0.00162875,0.00162875
17,61.5313,1.23885,1.42162,0.00726,0.87136,0.8319,0.92305,0.54198,1.24542,1.3038,0.00804,0.001604,0.001604,0.001604
18,63.8159,1.22813,1.32123,0.00723,0.82866,0.87552,0.90837,0.54893,1.2594,1.3062,0.00805,0.00157925,0.00157925,0.00157925
19,66.1426,1.17165,1.34768,0.0072,0.82802,0.85345,0.92181,0.59319,1.17408,1.19788,0.00733,0.0015545,0.0015545,0.0015545
20,68.4353,1.25479,1.32141,0.00793,0.83003,0.87069,0.90867,0.44315,1.68289,1.37536,0.0112,0.00152975,0.00152975,0.00152975
21,70.7373,1.22684,1.31573,0.00742,0.83639,0.83735,0.89419,0.45514,1.41475,1.29324,0.00938,0.001505,0.001505,0.001505
22,73.0038,1.23592,1.27538,0.00716,0.82772,0.86978,0.91536,0.58973,1.10489,1.01552,0.00691,0.00148025,0.00148025,0.00148025
23,75.4492,1.26743,1.32586,0.00782,0.78717,0.86638,0.88859,0.53529,1.17861,1.11591,0.00758,0.0014555,0.0014555,0.0014555
24,77.7275,1.2047,1.26399,0.00711,0.76711,0.86638,0.89796,0.49767,1.19888,1.21826,0.00766,0.00143075,0.00143075,0.00143075
25,80.0189,1.18883,1.22424,0.00687,0.87232,0.88349,0.94344,0.57587,1.18649,1.06954,0.00769,0.001406,0.001406,0.001406
26,82.3412,1.22451,1.19404,0.00725,0.83343,0.86267,0.93363,0.57602,1.20508,0.98861,0.00764,0.00138125,0.00138125,0.00138125
27,84.631,1.23344,1.18627,0.00758,0.82744,0.82759,0.88075,0.4754,1.42109,1.13774,0.00943,0.0013565,0.0013565,0.0013565
28,86.9001,1.15925,1.11086,0.00716,0.84979,0.90948,0.94672,0.55518,1.23449,0.99668,0.00787,0.00133175,0.00133175,0.00133175
